#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Apr 21 14:03:16 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       fixedFloatConversion_map.ncd
#OUTPUT FILE:      fixedFloatConversion_pad.csv
#PART TYPE:        xc3s100e
#SPEED GRADE:      -5
#PACKAGE:          tq144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,result<0>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P3,,DIFFS,IO_L01N_3,UNUSED,,3,,,,,,,,,
P4,result<5>,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P5,result<4>,IOB,IO_L02N_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P6,,IBUF,IP,UNUSED,,3,,,,,,,,,
P7,result<12>,IOB,IO_L03P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P8,result<2>,IOB,IO_L03N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P9,,,VCCINT,,,,,,,,1.2,,,,
P10,result<6>,IOB,IO,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
P11,,,GND,,,,,,,,,,,,
P12,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
P13,,,VCCO_3,,,3,,,,,2.50,,,,
