#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed May 08 14:48:13 2019

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       cs161_processor_map.ncd
#OUTPUT FILE:      cs161_processor_pad.csv
#PART TYPE:        xc3s1200e
#SPEED GRADE:      -5
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,,TDI,,,,,,,,,,,,
A3,,IBUF,IP,UNUSED,,0,,,,,,,,,
A4,reg1_data<22>,IOB,IO_L17N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A5,reg2_data<22>,IOB,IO_L17P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A6,,,VCCAUX,,,,,,,,2.5,,,,
A7,reg2_data<28>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A8,,DIFFMI,IP_L10P_0/GCLK8,UNUSED,,0,,,,,,,,,
A9,reg1_data<29>,IOB,IO_L09N_0/GCLK7,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A10,instr_opcode<4>,IOB,IO_L09P_0/GCLK6,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A11,,,VCCAUX,,,,,,,,2.5,,,,
A12,write_reg_data<27>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A13,reg2_data<25>,IOB,IO_L03N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A14,reg2_data<26>,IOB,IO_L01N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
A15,,,TCK,,,,,,,,,,,,
A16,,,GND,,,,,,,,,,,,
B1,reg1_addr<4>,IOB,IO_L01P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B2,reg1_addr<1>,IOB,IO_L01N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B3,reg1_addr<3>,IOB,IO_L19N_0/HSWAP,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B4,reg2_data<29>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B5,,,VCCO_0,,,0,,,,,2.50,,,,
B6,reg1_data<23>,IOB,IO,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B7,reg1_data<14>,IOB,IO_L13P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B8,clk,IBUF,IP_L10N_0/GCLK9,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
